#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-09-20T11:33:56 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ632999b530aaa9	
#INFO	-out.max=unlimited	
#INFO	queryParameters=16	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=V/50/catalog
#-nav=cat:V/50&tab:{V/50/catalog}&key:source=V/50&HTTPPRM:&&-ref=VIZ632999b530aaa9&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=HR&-out=Name&-out=RAJ2000&-out=DEJ2000&-out=Vmag&-out=SpType&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=V/50/catalog
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=V/50/catalog
#-out=HR
#-out=Name
#-out=RAJ2000
#-out=DEJ2000
#-out=Vmag
#-out=SpType
#

#RESOURCE=yCat_5050
#Name: V/50
#Title: Bright Star Catalogue, 5th Revised Ed. (Hoffleit+, 1991)
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	V_50_catalog:
#Name: V/50/catalog
#Title: The main part of the Catalogue
#Column	HR	(I4)	[1/9110]+ Harvard Revised Number = Bright Star Number	[ucd=meta.id;meta.main]
#Column	Name	(a10)	Name, generally Bayer and/or Flamsteed name	[ucd=meta.id]
#Column	RAJ2000	(A10)	?Hours RA, equinox J2000, epoch 2000.0 (1)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	?Sign Dec, equinox J2000, epoch 2000.0 (1)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	?Visual magnitude (1)	[ucd=phot.mag;em.opt.V]
#Column	SpType	(a20)	Spectral type	[ucd=src.spType]
HR	Name	RAJ2000	DEJ2000	Vmag	SpType
4554	 64Gam UMa	11 53 49.8	+53 41 41	 2.44	  A0Ve
4555	          	11 53 50.3	+00 33 07	 6.30	  F0V
4556	          	11 54 11.5	-57 24 36	 6.06	  A0-1:III
4557	          	11 54 25.8	-37 44 56	 6.46	  F7V
4558	          	11 54 42.5	-25 42 50	 5.30	  G4III
4559	  6    Vir	11 55 03.1	+08 26 38	 5.58	 gK0
4560	 65    UMa	11 55 05.7	+46 28 37	 6.54	  A3Vn
4561	 65    UMa	11 55 11.2	+46 28 11	 7.03	  A1pCrEuSr:
4562	          	11 55 14.1	+36 45 23	 6.49	  M3III
4563	          	11 54 59.8	-63 16 44	 5.91	  A3Ib
4564	 95    Leo	11 55 40.5	+15 38 48	 5.53	  A3V
4565	          	11 55 40.1	-28 28 37	 5.93	  K5III
4566	 66    UMa	11 55 58.4	+56 35 55	 5.84	  K1III
4567	 30Eta Crt	11 56 00.9	-17 09 03	 5.18	  A0V
4568	          	11 55 54.7	-39 41 21	 6.13	  K0III
4569	          	11 56 53.2	+61 32 57	 6.22	  G8III
4570	          	11 56 43.9	-47 04 21	 6.26	  F5V
4571	          	11 57 03.7	-33 18 55	 6.21	  A0V
4572	          	11 57 14.6	+40 20 37	 6.62	  F6V
4573	          	11 57 40.1	-62 26 56	 5.57	  B3V
4574	          	11 58 07.2	+32 16 26	 6.42	  A9V
4575	          	11 58 20.6	+61 27 53	 6.76	  K0III
4576	          	11 58 15.2	-56 19 02	 5.44	  B8III
4577	          	11 58 20.3	-40 56 50	 6.79	  K1III
4578	          	11 58 47.7	-64 20 21	 5.61	  A3Ib
4579	          	11 58 54.4	-25 54 32	 6.43	  A0-1V
4580	          	11 59 03.4	+00 31 50	 6.17	  K2IV
4581	          	11 59 17.6	+33 10 03	 5.96	  K1III
4582	          	11 59 10.9	-51 41 48	 6.05	  K1-2III
4583	   Eps Cha	11 59 37.3	-78 13 19	 4.91	  B9Vn
4584	          	11 59 57.2	+34 02 06	 6.50	  A9III
4585	  7    Vir	11 59 56.9	+03 39 19	 5.37	  A1V
4586	          	12 00 18.6	+80 51 11	 6.17	  M2III
4587	          	12 00 44.5	-10 26 46	 5.55	  G8-K0IV
4588	          	12 00 42.5	-21 50 14	 6.28	  K0IV
4589	  8Pi  Vir	12 00 52.4	+06 36 51	 4.66	  A5V
4590	          	12 00 51.2	-19 39 32	 5.26	  B1.5V
4591	          	12 01 01.8	-01 46 05	 6.31	 gG8
4592	          	12 01 29.0	-57 30 13	 6.16	  A0V
4593	          	12 01 39.5	+36 02 31	 5.59	  K0III
4594	 67    UMa	12 02 06.8	+43 02 44	 5.21	  F0Vam
4595	          	12 02 20.1	-85 37 54	 6.05	  K3III
4596	          	12 02 28.6	-71 29 20	 6.42	  K1III
4597	          	12 02 37.7	-69 11 32	 5.89	  B9V
4598	          	12 02 51.6	-07 41 01	 6.22	  K5
4599	   The1Cru	12 03 01.5	-63 18 46	 4.33	  Am
4600	          	12 03 39.6	-42 26 03	 5.15	  F6V
4601	          	12 03 44.3	-74 12 50	 6.44	  G6III
4602	  2    Com	12 04 16.6	+21 27 33	 5.87	  F0IV-V
4603	   The2Cru	12 04 19.2	-63 09 56	 4.72	  B2IV
4604	          	12 04 38.7	-68 19 45	 5.35	  A0IV
4605	   Kap Cha	12 04 46.5	-76 31 09	 5.04	  K4III
4606	          	12 04 28.1	+85 35 14	 6.27	  F6V
4607	          	12 04 57.1	-60 58 09	 5.96	  M2III
4608	  9Omi Vir	12 05 12.5	+08 43 59	 4.12	  G8IIIaCN-1Ba1CH1
4609	          	12 05 15.1	+76 54 21	 5.80	  G9III
4610	          	12 05 39.7	+62 55 59	 6.13	  K2III
4611	          	12 05 53.2	-65 32 50	 6.33	  B6Iab-Ib
4612	          	12 05 56.7	-35 41 38	 6.23	  B8V
4613	          	12 05 59.8	-03 07 54	 6.37	 gG8
4614	          	12 06 19.8	-68 39 03	 6.23	  G3Ib
4615	          	12 06 23.1	-65 42 33	 6.06	  G8-K0III+A3-5V
4616	   Eta Cru	12 06 52.9	-64 36 49	 4.15	  F2III
4617	          	12 07 49.8	-75 22 01	 5.18	  K2II-III
4618	          	12 08 05.2	-50 39 41	 4.47	  B6IIIe
4619	          	12 08 04.8	-50 45 48	 6.37	  B9V
4620	          	12 08 14.7	-48 41 34	 5.34	  B9V
4621	   Del Cen	12 08 21.5	-50 43 21	 2.60	  B2IVne
4622	          	12 08 24.6	-60 50 50	 6.22	  K3-4II
4623	  1Alp Crv	12 08 24.8	-24 43 44	 4.02	  F2III-IV
4624	          	12 08 53.8	-44 19 34	 5.75	  A2mA5-F2
4625	          	12 08 54.5	-41 13 53	 5.48	  B3IV
4626	 10    Vir	12 09 41.3	+01 53 52	 5.95	  K3III
4627	          	12 09 47.3	+74 39 41	 6.35	  F6IV
4628	          	12 10 02.5	-34 42 18	 6.17	  A0V
4629	 11    Vir	12 10 03.4	+05 48 25	 5.72	  F2-6IIIm vs
4630	  2Eps Crv	12 10 07.5	-22 37 11	 3.00	  K2.5IIIaBa0.2:
4631	          	12 10 33.8	-37 52 13	 6.06	  A5V
4632	  3    Com	12 10 31.6	+16 48 33	 6.39	  A4V
4633	          	12 10 46.1	+27 16 53	 6.01	  A4Vn
4634	          	12 11 04.9	-61 16 39	 6.08	  F2-3IV
4635	  3    Crv	12 11 03.9	-23 36 09	 5.46	  A2V
4636	          	12 11 02.9	-45 25 22	 6.61	  K0III
4637	          	12 11 31.4	-51 21 34	 6.23	  G6III+G:
4638	   Rho Cen	12 11 39.1	-52 22 07	 3.96	  B3V
4639	          	12 11 00.0	+81 42 36	 6.00	 gK5
4640	  4    Com	12 11 51.2	+25 52 13	 5.66	  K4III
4641	 68    UMa	12 11 44.9	+57 03 16	 6.43	 gK5
4642	          	12 12 01.2	+28 32 10	 6.49	  F5V
4643	  5    Com	12 12 09.3	+20 32 31	 5.57	  K0II-III
4644	          	12 12 22.0	-62 57 03	 5.92	  B8Ia-Iab
4645	          	12 12 46.8	-70 09 07	 6.17	  F6Ib
4646	          	12 12 11.9	+77 36 59	 5.14	  A5m
4647	          	12 13 13.0	-34 07 32	 6.50	  M4III
4648	          	12 13 25.3	-38 55 45	 5.76	  B4IV
4649	          	12 13 55.7	-78 34 25	 6.35	  K2-3IIICNII
4650	 12    Vir	12 13 25.9	+10 15 44	 5.85	  A2m
4651	          	12 13 36.7	-33 47 34	 6.33	  A0V
4652	          	12 14 02.6	-45 43 26	 5.31	  K3III
4653	          	12 14 16.8	-64 24 31	 6.22	  B1.5Ia
4654	          	12 14 43.4	+53 26 05	 6.16	 gK0
4655	          	12 14 59.6	-20 50 39	 5.83	 gG7
4656	   Del Cru	12 15 08.7	-58 44 56	 2.80	  B2IV
4657	          	12 15 10.6	-10 18 45	 6.11	  F5V
4658	          	12 15 30.5	-41 54 47	 6.26	  K0III
4659	          	12 15 08.5	+70 12 00	 5.71	 gK2
4660	 69Del UMa	12 15 25.6	+57 01 57	 3.31	  A3V
4661	          	12 15 47.0	-23 21 13	 6.54	  F3V
4662	  4Gam Crv	12 15 48.4	-17 32 31	 2.59	  B8IIIpHgMn
4663	  6    Com	12 16 00.2	+14 53 56	 5.10	  A3V
4664	          	12 16 23.5	-72 36 53	 6.22	  A0V
4665	          	12 15 41.4	+72 33 03	 6.29	  K0IIIe+K0IIIe
4666	  2    CVn	12 16 07.6	+40 39 37	 5.66	  M1III+F7V
4667	  7    Com	12 16 20.5	+23 56 43	 4.95	  G8IIIFe-0.5
4668	          	12 16 30.1	+33 03 41	 5.00	  K0.5IIIb
4669	          	12 17 06.0	-65 41 34	 6.06	  A0V
4670	          	12 17 03.3	-16 41 37	 6.05	  A2IV
4671	   Eps Mus	12 17 34.1	-67 57 39	 4.11	  M5III
4672	          	12 17 29.5	+53 11 28	 5.81	  K6III
4673	          	12 17 30.5	+28 56 14	 5.70	  A4m:
4674	   Bet Cha	12 18 20.7	-79 18 44	 4.26	  B5Vn
4675	          	12 17 47.3	-36 05 38	 6.15	  A0V
4676	          	12 17 44.3	+15 08 39	 6.34	  K4III
4677	          	12 18 09.1	-03 57 16	 6.99	  F3V
4678	          	12 18 09.6	-03 56 55	 6.54	  F2V
4679	   Zet Cru	12 18 26.1	-64 00 11	 4.04	  B2.5V
4680	          	12 18 31.6	+30 14 57	 6.23	  A9.5III
4681	 13    Vir	12 18 40.3	-00 47 14	 5.90	  A5Vn
4682	          	12 18 59.7	-55 08 35	 5.00	  M1III
4683	          	12 16 51.4	+86 26 10	 6.33	  F4V
4684	          	12 19 02.1	+26 00 28	 6.48	  A5-7mIV-V
4685	  8    Com	12 19 19.1	+23 02 05	 6.27	  A5III vs
4686	          	12 15 20.3	+87 42 00	 6.28	  F2V
4687	          	12 18 49.9	+75 09 38	 5.38	  A1V
4688	  9    Com	12 19 29.6	+28 09 25	 6.33	  F8V s
4689	 15Eta Vir	12 19 54.4	-00 40 01	 3.89	  A2IV
4690	  3    CVn	12 19 48.7	+48 59 03	 5.29	  M0III
4691	          	12 20 10.7	-22 10 32	 5.97	  G3IV
4692	          	12 20 28.0	-65 50 34	 6.21	  B9V
4693	          	12 20 19.7	+26 37 10	 5.54	  K2III-IV
4694	          	12 20 17.7	+26 00 07	 6.15	  F0IV
4695	 16    Vir	12 20 21.0	+03 18 45	 4.96	  K0-IIIbFe-1
4696	  5Zet Crv	12 20 33.7	-22 12 57	 5.21	  B8Vne
4697	 11    Com	12 20 43.0	+17 47 34	 4.74	  G8+III
4698	          	12 20 41.3	+27 03 17	 7.13	  F3V+F3V
4699	          	12 20 55.7	-13 33 56	 5.14	  K1III
4700	   Eps Cru	12 21 21.6	-60 24 04	 3.59	  K3-4III
4701	 70    UMa	12 20 50.8	+57 51 50	 5.55	  K5III
4702	          	12 21 57.5	-56 22 29	 5.92	  K4III+F:
4703	   Zet2Mus	12 22 07.3	-67 31 19	 5.15	  A5V
4704	   Zet1Mus	12 22 11.9	-68 18 27	 5.74	  K0III
4705	          	12 22 10.8	+24 46 26	 6.19	  A0V
4706	          	12 22 49.3	-57 40 34	 5.39	  B9V
4707	 12    Com	12 22 30.3	+25 50 46	 4.81	  G0III-IV+A3V
4708	 17    Vir	12 22 32.0	+05 18 20	 6.40	  F8V
4709	          	12 25 37.5	-86 09 02	 6.33	  K0III
4710	          	12 23 13.8	-67 37 54	 6.36	  G8-K0IV
4711	  6    Crv	12 23 21.6	-24 50 26	 5.68	 gK1
4712	          	12 23 35.4	-35 24 46	 5.32	  B9III
4713	          	12 23 36.9	-39 18 11	 6.40	  F2V
4714	          	12 23 44.9	-38 54 40	 5.79	  B9V
4715	  4    CVn	12 23 47.0	+42 32 34	 6.06	  F3III-IV
4716	  5    CVn	12 24 01.5	+51 33 44	 4.80	  G6IIIBa0.2
4717	 13    Com	12 24 18.5	+26 05 55	 5.18	  A3V
4718	          	12 24 44.7	-41 23 03	 6.25	  K2-3III
4719	          	12 24 26.7	+25 34 58	 6.42	  A7V+F4V
4720	          	12 25 17.3	-65 46 14	 6.30	  G8-K0IV
4721	          	12 25 08.5	-42 30 52	 6.11	  G5III+F-G
4722	          	12 25 11.7	-11 36 37	 5.95	  A1V
4723	          	12 25 18.4	-27 44 57	 6.09	  K1III
4724	          	12 25 21.8	-35 11 11	 5.73	  B9III
4725	          	12 25 15.1	+23 55 34	 6.03	  K0III
4726	 71    UMa	12 25 03.2	+56 46 39	 5.81	  M3IIIb
4727	          	12 25 06.4	+63 48 10	 6.32	  G8III
4728	  6    CVn	12 25 50.9	+39 01 07	 5.02	  G9III
4729	          	12 26 30.9	-63 07 21	 4.86	  B4IV
4730	   Alp1Cru	12 26 35.9	-63 05 57	 1.33	  B0.5IV
4731	   Alp2Cru	12 26 36.5	-63 05 58	 1.73	  B1V
4732	          	12 26 31.6	-51 27 03	 4.82	  B3Vn
4733	 14    Com	12 26 24.1	+27 16 06	 4.95	  F0p
4734	          	12 26 48.2	-48 54 48	 6.26	  G3-5V
4735	          	12 26 51.7	-32 49 48	 5.55	  B9V
4736	          	12 27 24.6	-63 47 21	 6.00	  B8IV
4737	 15Gam Com	12 26 56.3	+28 16 06	 4.36	  K1IIIFe0.5
4738	 16    Com	12 26 59.3	+26 49 32	 5.00	  A4V
4739	          	12 27 28.7	-58 59 31	 5.50	  M4-5III
4740	          	12 26 24.2	+71 55 47	 6.24	 gG8
4741	          	12 27 42.1	+08 36 37	 6.37	  G8III
4742	          	12 27 49.4	-16 37 55	 6.35	  G3III
4743	   Sig Cen	12 28 02.4	-50 13 50	 3.91	  B2V
4744	          	12 28 18.9	-64 20 29	 6.04	  A0Vn
4745	 73    UMa	12 27 35.1	+55 42 46	 5.70	  M2IIIb
4746	          	12 27 51.6	-04 36 55	 6.22	  A8n
4747	          	12 28 25.5	-61 47 43	 6.22	  K2III
4748	          	12 28 22.5	-39 02 29	 5.44	  B8V
4749	          	12 28 33.4	-56 24 28	 6.15	  K0-1III
4750	          	12 28 38.1	+26 13 36	 6.54	  A2m
4751	          	12 28 44.6	+25 53 57	 6.65	  Am(A2/A9V/F0)
4752	 17    Com	12 28 54.7	+25 54 46	 5.29	  A1IVp
4753	 18    Com	12 29 26.9	+24 06 32	 5.48	  F5III
4754	          	12 29 53.9	-56 31 29	 5.80	  M1III
4755	          	12 29 57.9	-41 44 10	 6.02	  M2II-III
4756	 20    Com	12 29 43.2	+20 53 46	 5.69	  A3V
4757	  7Del Crv	12 29 51.9	-16 30 56	 2.95	  B9.5V
4758	          	12 30 04.8	-13 23 35	 6.35	  G0V
4759	          	12 30 17.5	-23 41 48	 5.63	  M0III
4760	 74    UMa	12 29 57.3	+58 24 21	 5.35	  A5Del Del
4761	  7    CVn	12 30 02.9	+51 32 08	 6.21	  F6-8V
4762	 75    UMa	12 30 04.3	+58 46 03	 6.08	  G8III-IV
4763	   Gam Cru	12 31 09.9	-57 06 48	 1.63	  M3.5III
4764	   Gam Cru	12 31 16.7	-57 04 52	 6.42	  A3V
4765	  4    Dra	12 30 06.7	+69 12 04	 4.95	  M3IIIa
4766	 21    Com	12 31 00.6	+24 34 02	 5.46	  A2p
4767	          	12 30 50.1	+53 04 36	 6.21	  F8-G0V
4768	          	12 31 40.3	-59 25 26	 5.48	  F7Ib-II
4769	          	12 32 10.0	-73 00 06	 5.88	  K1III
4770	          	12 31 21.4	+07 36 15	 6.05	  K5
4771	          	12 31 55.8	-63 30 22	 5.95	  A8III
4772	          	12 31 38.7	-05 03 09	 6.19	 gG9
4773	   Gam Mus	12 32 28.0	-72 07 59	 3.87	  B5V
4774	          	12 32 04.5	-32 32 01	 6.46	  A3V
4775	  8Eta Crv	12 32 04.2	-16 11 46	 4.31	  F2III-IV
4776	          	12 32 36.0	-13 51 33	 5.74	  F2V
4777	 20    Vir	12 33 02.9	+10 17 44	 6.26	  G8III
4778	          	12 33 22.4	-19 47 31	 6.26	  F2V
4779	          	12 33 34.3	-12 49 49	 5.58	  G8III
4780	 22    Com	12 33 34.2	+24 16 59	 6.29	  A4Vm
4781	 21    Vir	12 33 46.8	-09 27 07	 5.48	  A0V
4782	          	12 33 59.2	-49 54 34	 6.38	  F3III-IV
4783	          	12 33 38.9	+33 14 51	 5.42	  K0IIICN-1
4784	          	12 33 47.4	+33 23 05	 6.24	  K0III
4785	  8Bet CVn	12 33 44.5	+41 21 27	 4.26	  G0V
4786	  9Bet Crv	12 34 23.2	-23 23 48	 2.65	  G5II
4787	  5Kap Dra	12 33 29.0	+69 47 18	 3.87	  B6IIIpe
4788	          	12 34 42.3	-44 40 24	 5.77	  G1V
4789	 23    Com	12 34 51.1	+22 37 45	 4.81	  A0IV
4790	          	12 35 29.0	-61 50 31	 6.22	  G3III
4791	 24    Com	12 35 06.3	+18 22 38	 6.56	  A9Vm
4792	 24    Com	12 35 07.8	+18 22 37	 5.02	  K2III
4793	          	12 35 08.1	+21 52 53	 5.85	  K1III
4794	          	12 35 45.5	-41 01 19	 5.13	  A7III
4795	  6    Dra	12 34 44.0	+70 01 19	 4.94	  K3III*
4796	          	12 36 01.2	-39 52 12	 5.80	  A0V
4797	          	12 35 58.6	-20 31 38	 6.20	  F0III
4798	   Alp Mus	12 37 11.0	-69 08 08	 2.69	  B2IV-V
4799	 25    Vir	12 36 47.4	-05 49 55	 5.87	  A3V
4800	          	12 36 23.3	+59 29 13	 5.50	  M4IIIe
4801	 25    Com	12 36 58.3	+17 05 22	 5.68	  K5III
4802	   Tau Cen	12 37 42.2	-48 32 28	 3.86	  A2V
4803	          	12 37 42.2	-27 08 20	 5.45	  F1IV
4804	          	12 39 14.5	-75 22 10	 6.49	  B8Vne
4805	          	12 38 04.4	+03 16 57	 6.33	  A1V
4806	          	12 38 52.5	-67 11 35	 6.25	  B1Ia
4807	          	12 38 22.4	+01 51 17	 5.71	  M3+IIIbCa0.5
4808	          	12 38 30.0	+06 59 18	 7.08	  M4.5IIIe
4809	          	12 38 44.6	-18 15 01	 6.00	 dA6
4810	          	12 39 03.5	-30 25 20	 5.89	  K2-3III
4811	  9    CVn	12 38 46.3	+40 52 28	 6.37	  A7Vn
4812	          	12 39 02.1	+22 39 34	 6.38	  K1III
4813	 26Chi Vir	12 39 14.8	-07 59 44	 4.66	  K2III-IIIbCN1
4814	          	12 39 55.6	-66 30 42	 6.26	  B8V
4815	 26    Com	12 39 07.3	+21 03 45	 5.46	  G9III
4816	          	12 39 16.9	+35 57 07	 6.45	  A0pSrCrEu
4817	          	12 39 52.5	-39 59 15	 4.64	  B8II/III
4818	          	12 41 23.0	-46 08 44	 5.84	  K4III
4819	   Gam Cen	12 41 31.0	-48 57 35	 2.17	  A1IV
4820	          	12 42 05.1	-69 24 27	 6.33	  F7Ib-G2
4821	          	12 41 16.0	-13 00 49	 6.08	  F3Vn
4822	          	12 41 16.2	-13 00 54	 5.98	  F5V
4823	          	12 41 56.6	-59 41 09	 4.93	  B6IVe
4824	 27    Vir	12 41 34.4	+10 25 35	 6.19	  A7Vn
4825	 29Gam Vir	12 41 39.6	-01 26 58	 3.65	  F0V
4826	 29Gam Vir	12 41 39.6	-01 26 58	 3.68	  F0V
4827	          	12 41 49.2	-19 45 31	 6.03	  F3-5III
4828	 30Rho Vir	12 41 53.1	+10 14 08	 4.88	  A0V
4829	 31    Vir	12 41 57.1	+06 48 24	 5.59	  A2V
4830	          	12 42 50.3	-63 03 31	 5.31	  B1IIIe
4831	          	12 42 35.4	-48 48 47	 4.66	  K0III
4832	          	12 42 49.6	-55 56 50	 6.08	  B9V
4833	 76    UMa	12 41 33.9	+62 42 47	 6.07	  A2III
4834	          	12 43 09.1	-56 10 34	 6.00	  B7-8V
4835	          	12 43 28.2	-58 54 11	 6.40	  K0-1III
4836	          	12 43 26.3	-40 10 40	 6.44	  A8V:
4837	          	12 43 38.1	-01 34 37	 5.93	  G8IIIp
4838	          	12 43 58.7	-36 20 57	 6.39	  A0V
4839	          	12 44 00.5	-28 19 26	 5.48	  K4III
4840	          	12 43 04.2	+61 09 20	 6.38	  K0
4841	          	12 45 01.7	-68 49 52	 6.16	  F6Ia
4842	   Iot Cru	12 45 37.9	-60 58 52	 4.69	  K0III
4843	          	12 44 27.1	+44 06 11	 6.33	  F6IV
4844	   Bet Mus	12 46 16.9	-68 06 29	 3.05	  B2.5V
4845	 10    CVn	12 44 59.5	+39 16 44	 5.95	  G0V
4846	          	12 45 07.8	+45 26 25	 4.99	  C7I
4847	 32    Vir	12 45 37.1	+07 40 24	 5.22	  F0IIIm
4848	          	12 46 22.7	-56 29 20	 4.65	  B3V
4849	 33    Vir	12 46 22.5	+09 32 24	 5.67	  K1III-IV
4850	          	12 46 46.0	-33 18 56	 5.86	  K3III
4851	 27    Com	12 46 38.7	+16 34 39	 5.12	  K3III
4852	          	12 44 26.0	+80 37 16	 6.40	  A5m
4853	   Bet Cru	12 47 43.2	-59 41 19	 1.25	  B0.5III
4854	          	12 47 02.3	+05 57 03	 6.34	  A0pSrEuCr
4855	 34    Vir	12 47 13.6	+11 57 29	 6.07	  A3V
4856	          	12 47 33.4	-06 18 07	 6.26	  F7V
4857	          	12 47 53.7	-24 51 06	 6.44	  B8III
4858	 35    Vir	12 47 51.4	+03 34 22	 6.41	  M3IIIb
4859	          	12 47 18.9	+62 46 51	 5.89	  A9V
4860	          	12 48 26.4	-27 35 51	 5.66	  G5III-IV
4861	 28    Com	12 48 14.3	+13 33 11	 6.56	  A1V
4862	          	12 49 44.9	-71 59 11	 5.55	  G8Ib-II
4863	  7    Dra	12 47 34.4	+66 47 25	 5.43	 gK5
4864	          	12 48 47.0	+24 50 25	 6.31	  G7V
4865	 29    Com	12 48 54.2	+14 07 21	 5.70	  A1V
4866	 11    CVn	12 48 41.8	+48 28 01	 6.27	  A6m
4867	          	12 48 39.4	+60 19 12	 5.85	  F5V
4868	          	12 50 12.0	-60 24 03	 6.75	  A3II
4869	 30    Com	12 49 17.4	+27 33 08	 5.78	  A2V
4870	   Iot Oct	12 54 58.6	-85 07 24	 5.46	  K0III
4871	          	12 50 19.6	-48 27 35	 6.24	  A0V
4872	          	12 50 57.9	-52 47 15	 5.73	  A5V
4873	          	12 50 17.4	+22 51 48	 6.43	  K0III
4874	          	12 50 41.2	-33 59 58	 4.91	  A0IV
4875	          	12 50 10.7	+37 31 01	 5.89	  A3V
4876	          	12 51 17.8	-60 19 47	 5.72	  A2Iabe
4877	          	12 51 22.9	-10 20 18	 6.41	  G8III
4878	 37    Vir	12 51 36.9	+03 03 24	 6.02	 gK4
4879	          	12 51 56.8	-39 40 51	 5.98	  B8V
4880	          	12 52 05.3	-48 05 39	 6.33	  A0IV
4881	          	12 51 57.9	-26 44 17	 6.15	  A0III
4882	          	12 52 24.6	-53 49 46	 6.24	  G8Ib-II
4883	 31    Com	12 51 41.9	+27 32 26	 4.94	  G0III
4884	 32    Com	12 52 12.3	+17 04 26	 6.32	  M0III
4885	          	12 53 03.9	-54 57 09	 5.93	  K2III
4886	          	12 52 27.6	+16 07 21	 6.30	  A7V
4887	          	12 53 21.8	-60 19 43	 5.76	  B9Ia
4888	          	12 53 06.9	-48 56 36	 4.33	  K3-4III
4889	          	12 53 26.2	-40 10 44	 4.27	  A7III
4890	   Kap Cru	12 53 49.1	-60 22 37	 5.90	  B5Ia
4891	 38    Vir	12 53 11.2	-03 33 11	 6.11	  F5V
4892	          	12 49 06.6	+83 25 05	 5.85	  A0V+A2V
4893	          	12 49 13.6	+83 24 46	 5.28	  A1IIIShell
4894	 35    Com	12 53 17.8	+21 14 42	 4.90	  G8III+F6V
4895	          	12 54 22.0	-58 25 50	 6.58	  F7Ib-II
4896	          	12 53 38.1	-04 13 26	 6.44	  K0
4897	   Lam Cru	12 54 39.2	-59 08 48	 4.62	  B4Vne
4898	   Mu 1Cru	12 54 35.6	-57 10 40	 4.03	  B2IV-V
4899	   Mu 2Cru	12 54 36.8	-57 10 06	 5.17	  B5Vne
4900	 41    Vir	12 53 49.7	+12 25 07	 6.25	  A7III
4901	          	12 54 18.7	-11 38 55	 6.00	  A2V
4902	 40Psi Vir	12 54 21.2	-09 32 20	 4.79	  M3-IIICa-1
4903	          	12 54 58.5	-44 09 07	 5.89	  G1V
4904	          	12 54 13.1	+33 32 04	 6.26	  A7IV
4905	 77Eps UMa	12 54 01.7	+55 57 35	 1.77	  A0pCr
4906	          	12 55 19.4	-42 54 57	 5.47	  M0III
4907	          	12 56 31.5	-72 11 07	 5.93	  G8III
4908	          	12 55 57.0	-56 50 10	 5.32	  O9Ib
4909	          	12 54 56.5	+47 11 48	 5.84	  M5III
4910	 43Del Vir	12 55 36.2	+03 23 51	 3.38	  M3+III
4911	          	12 55 53.3	-15 19 37	 6.17	  A0Vn
4912	          	12 56 30.1	-26 27 37	 6.62	  F3Ia
4913	          	12 57 04.4	-51 11 55	 5.16	  B8-9V
4914	 12Alp1CVn	12 56 00.4	+38 18 53	 5.60	  F0V
4915	 12Alp2CVn	12 56 01.7	+38 19 06	 2.90	  A0pSiEuHg
4916	  8    Dra	12 55 28.5	+65 26 19	 5.24	  F0V
4917	          	12 56 17.6	+54 05 58	 5.82	  A5m
4918	          	12 57 33.2	-22 45 14	 6.31	  G5
4919	          	12 57 07.7	+46 10 37	 6.12	  K0III-IV
4920	 36    Com	12 58 55.4	+17 24 34	 4.78	  M1-IIIb
4921	 44    Vir	12 59 39.5	-03 48 43	 5.79	  A3V
4922	          	13 00 32.6	-33 30 19	 6.02	  F0V
4923	   Del Mus	13 02 16.2	-71 32 56	 3.62	  K2III
4924	 37    Com	13 00 16.5	+30 47 06	 4.90	  G9IIICH-2Fe1Ca1
4925	 46    Vir	13 00 35.9	-03 22 07	 5.99	  K2III
4926	          	13 00 38.8	+18 22 23	 6.20	  F6V s
4927	          	12 58 47.3	+75 28 21	 6.01	  K0III
4928	  9    Dra	12 59 55.1	+66 35 50	 5.32	  K2III
4929	 38    Com	13 01 09.6	+17 07 23	 5.96	  K0III
4930	          	13 03 05.2	-71 28 34	 6.03	  B1.5IIIne
4931	 78    UMa	13 00 43.8	+56 21 59	 4.93	  F2V
4932	 47Eps Vir	13 02 10.6	+10 57 33	 2.83	  G8IIIab
4933	   Xi 1Cen	13 03 33.2	-49 31 38	 4.85	  A0V
4934	          	13 01 46.8	+63 36 37	 6.00	  F6V
4935	          	13 03 46.1	-20 34 59	 5.58	  F7V
4936	          	13 02 40.4	+59 42 58	 6.53	  A3Vn
4937	 48    Vir	13 03 54.4	-03 39 48	 6.59	  F0V
4938	          	13 04 48.1	-41 11 48	 6.26	  M3-4III
4939	          	13 05 30.8	-52 06 54	 6.43	  M1III
4940	          	13 06 16.7	-48 27 49	 4.71	  B5V
4941	          	13 06 35.1	-41 35 19	 5.59	  K0II-III
